"","nazwa","rozdzielczosc","zakres_czulosci","cena","liczba_opinii"
"1","Canon EOS 250D",24.1,25600,3299,1
"2","Pentax KF",24,102400,3928,0
"3","Canon EOS 850D",24.1,25600,3999,0
"4","Pentax K-70",24,102400,4099,1
"5","Nikon D3500",24.2,25600,2590,22
"6","Canon EOS 90D",32.5,25600,4999,10
"7","Canon EOS 6D Mark II",26.2,40000,5999,63
"8","Canon PowerShot SX70",20.3,25600,2679,23
"9","Sony Alpha a7 III",24.2,204800,8199,12
"10"," Sony A6100 ",24.2,32000,3999,7
"11","Panasonic Lumix S5",24.2,204800,8190,1
"12","Nikon Z30",21.51,51200,3849,0
"13","Sony Alpha 6400",24.2,102400,3949,9
"14","Canon EOS R10",24.2,32000,4699,3
"15"," Panasonic Lumix DMC-G7",16,25600,2090,17
